ID,IUPAC,Usage
1,Gal(a1-Sp8,1
2,Glc(a1-Sp8,1
3,Man(a1-Sp8,1
4,GalNAc(a1-Sp8,1
5,GalNAc(a1-Sp15,1
6,Fuc(a1-Sp8,1
7,Fuc(a1-Sp9,1
9,Neu5Ac(a1-Sp8,1
10,Neu5Ac(a1-Sp11,1
11,Neu5Ac(b1-Sp8,1
12,Gal(b1-Sp8,1
13,Glc(b1-Sp8,1
14,Man(b1-Sp8,1
15,GalNAc(b1-Sp8,1
16,GlcNAc(b1-Sp0,1
17,GlcNAc(b1-Sp8,1
19,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,1
20,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14,1
21,GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(b1-Sp8,1
22,6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,1
23,6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,1
24,(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(1-Sp0,1
25,(3S)Gal(b1-4)Glc(b1-Sp8,1
26,(3S)Gal(b1-4)(6S)Glc(b1-Sp0,1
27,(3S)Gal(b1-4)(6S)Glc(b1-Sp8,1
28,(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1
29,(3S)Gal(b1-3)GalNAc(a1-Sp8,1
30,(3S)Gal(b1-3)GlcNAc(b1-Sp0,1
31,(3S)Gal(b1-3)GlcNAc(b1-Sp8,1
32,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp0,1
33,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp8,1
34,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,1
35,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,1
36,(3S)Gal(b1-4)GlcNAc(b1-Sp0,1
37,(3S)Gal(b1-4)GlcNAc(b1-Sp8,1
38,(3S)Gal(b1-Sp8,1
39,(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,1
40,(4S)Gal(b1-4)GlcNAc(b1-Sp8,1
41,(6P)Man(a1-Sp8,1
42,(6S)Gal(b1-4)Glc(b1-Sp0,1
43,(6S)Gal(b1-4)Glc(b1-Sp8,1
44,(6S)Gal(b1-4)GlcNAc(b1-Sp8,1
45,(6S)Gal(b1-4)(6S)Glc(b1-Sp8,1
46,Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,1
47,(6S)GlcNAc(b1-Sp8,1
50,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
51,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,1
52,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
53,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,1
54,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
55,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
56,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,1
57,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,1
58,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,1
59,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,1
60,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,1
61,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1
62,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,1
63,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,1
64,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
65,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,1
66,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,1
67,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1
68,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,1
69,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,1
70,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
71,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
72,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
73,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1
74,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
75,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
76,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,1
77,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,1
78,Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,1
79,Fuc(a1-2)Gal(b1-Sp8,1
80,Fuc(a1-3)GlcNAc(b1-Sp8,1
81,Fuc(a1-4)GlcNAc(b1-Sp8,1
82,Fuc(b1-3)GlcNAc(b1-Sp8,1
83,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,1
84,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
85,(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,1
86,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,1
87,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1
88,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1
89,GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,1
90,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,1
91,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,1
92,GalNAc(a1-3)GalNAc(b1-Sp8,1
93,GalNAc(a1-3)Gal(b1-Sp8,1
94,GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1
95,GalNAc(b1-3)GalNAc(a1-Sp8,1
96,GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,1
97,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,1
98,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
99,GalNAc(b1-4)GlcNAc(b1-Sp0,1
100,GalNAc(b1-4)GlcNAc(b1-Sp8,1
101,Gal(a1-2)Gal(b1-Sp8,1
102,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,1
103,Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,1
104,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
105,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1
106,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,1
107,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1
108,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,1
109,Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,1
110,Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,1
111,Gal(a1-3)GalNAc(a1-Sp8,1
112,Gal(a1-3)GalNAc(a1-Sp16,1
113,Gal(a1-3)GalNAc(b1-Sp8,1
114,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1
115,Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,1
116,Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,1
117,Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,1
118,Gal(a1-3)Gal(b1-4)Glc(b1-Sp10,1
119,Gal(a1-3)Gal(b1-Sp8,1
120,Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1
121,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,1
122,Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,1
123,Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,1
124,Gal(a1-4)GlcNAc(b1-Sp8,1
125,Gal(a1-6)Glc(b1-Sp8,1
126,Gal(b1-2)Gal(b1-Sp8,1
127,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
128,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
129,Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,1
130,Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8,1
131,Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,1
132,Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,1
133,Gal(b1-4)GlcNAc(b1-6)GalNAc(b1-Sp14,1
134,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,1
135,GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,1
136,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,1
137,Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,1
138,Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,1
139,Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,1
140,Gal(b1-3)GalNAc(a1-Sp8,1
141,Gal(b1-3)GalNAc(a1-Sp14,1
142,Gal(b1-3)GalNAc(a1-Sp16,1
143,Gal(b1-3)GalNAc(b1-Sp8,1
144,Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,1
145,Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
146,Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,1
147,Gal(b1-3)Gal(b1-Sp8,1
148,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
149,Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1
150,Gal(b1-3)GlcNAc(b1-Sp0,1
151,Gal(b1-3)GlcNAc(b1-Sp8,1
152,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
153,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1
154,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
155,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
156,Gal(b1-4)(6S)Glc(b1-Sp0,1
157,Gal(b1-4)(6S)Glc(b1-Sp8,1
158,Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1
159,Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1
160,Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,1
161,Gal(b1-4)GlcNAc(b1-3)GalNAc(b1-Sp14,1
162,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
163,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
164,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
165,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,1
166,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,1
167,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,1
168,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(b1-Sp14,1
169,Gal(b1-4)GlcNAc(b1-Sp0,1
170,Gal(b1-4)GlcNAc(b1-Sp8,1
171,Gal(b1-4)GlcNAc(b1-Sp23,1
172,Gal(b1-4)Glc(b1-Sp0,1
173,Gal(b1-4)Glc(b1-Sp8,1
174,GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,1
175,GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,1
176,GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,1
177,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,1
178,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,1
179,GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,1
180,GlcNAc(b1-3)GalNAc(a1-Sp8,1
181,GlcNAc(b1-3)GalNAc(a1-Sp14,1
182,GlcNAc(b1-3)Gal(b1-Sp8,1
183,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
184,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,1
185,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
186,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,1
187,GlcNAc(b1-MDPLys,1
188,GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,1
189,GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,1
190,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,1
191,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,1
192,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,1
193,GlcNAc(b1-6)GalNAc(a1-Sp8,1
194,GlcNAc(b1-6)GalNAc(a1-Sp14,1
195,GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,1
196,Glc(a1-4)Glc(b1-Sp8,1
197,Glc(a1-4)Glc(a1-Sp8,1
198,Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,1
199,Glc(b1-4)Glc(b1-Sp8,1
200,Glc(b1-6)Glc(b1-Sp8,1
202,GlcA(a1-Sp8,1
203,GlcA(b1-Sp8,1
204,GlcA(b1-3)Gal(b1-Sp8,1
205,GlcA(b1-6)Gal(b1-Sp8,1
206,KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,1
207,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,1
208,Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,1
209,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,1
210,Man(a1-2)Man(a1-3)Man(a1-Sp9,1
211,Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
212,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
213,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
214,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,1
215,Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,1
216,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
217,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1
218,Man(b1-4)GlcNAc(b1-Sp0,1
219,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
220,(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,1
221,Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,1
222,Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,1
223,Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,1
224,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,1
225,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,1
226,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
227,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
228,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,1
229,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
230,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8,1
231,Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1
232,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0,1
233,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8,1
234,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
235,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1
236,Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8,1
237,Neu5Ac(a2-3)GalNAc(a1-Sp8,1
238,Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0,1
239,Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(a1-Sp8,1
240,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,1
241,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
242,Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8,1
243,Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8,1
244,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8,1
